,survived,pclass,sex,age,fare,who,embark_town,alone
444,1,3,male,,8.1125,man,Southampton,True
445,1,1,male,4.0,81.8583,child,Southampton,False
446,1,2,female,13.0,19.5,child,Southampton,False
447,1,1,male,34.0,26.55,man,Southampton,True
448,1,3,female,5.0,19.2583,child,Cherbourg,False
449,1,1,male,52.0,30.5,man,Southampton,True
450,0,2,male,36.0,27.75,man,Southampton,False
451,0,3,male,,19.9667,man,Southampton,False
452,0,1,male,30.0,27.75,man,Cherbourg,True
453,1,1,male,49.0,89.1042,man,Cherbourg,False
454,0,3,male,,8.05,man,Southampton,True
455,1,3,male,29.0,7.8958,man,Cherbourg,True
456,0,1,male,65.0,26.55,man,Southampton,True
457,1,1,female,,51.8625,woman,Southampton,False
458,1,2,female,50.0,10.5,woman,Southampton,True
459,0,3,male,,7.75,man,Queenstown,True
460,1,1,male,48.0,26.55,man,Southampton,True
461,0,3,male,34.0,8.05,man,Southampton,True
462,0,1,male,47.0,38.5,man,Southampton,True
463,0,2,male,48.0,13.0,man,Southampton,True
464,0,3,male,,8.05,man,Southampton,True
465,0,3,male,38.0,7.05,man,Southampton,True
466,0,2,male,,0.0,man,Southampton,True
467,0,1,male,56.0,26.55,man,Southampton,True
468,0,3,male,,7.725,man,Queenstown,True
469,1,3,female,0.75,19.2583,child,Cherbourg,False
470,0,3,male,,7.25,man,Southampton,True
471,0,3,male,38.0,8.6625,man,Southampton,True
472,1,2,female,33.0,27.75,woman,Southampton,False
473,1,2,female,23.0,13.7917,woman,Cherbourg,True
474,0,3,female,22.0,9.8375,woman,Southampton,True
475,0,1,male,,52.0,man,Southampton,True
476,0,2,male,34.0,21.0,man,Southampton,False
477,0,3,male,29.0,7.0458,man,Southampton,False
478,0,3,male,22.0,7.5208,man,Southampton,True
479,1,3,female,2.0,12.2875,child,Southampton,False
480,0,3,male,9.0,46.9,child,Southampton,False
481,0,2,male,,0.0,man,Southampton,True
482,0,3,male,50.0,8.05,man,Southampton,True
483,1,3,female,63.0,9.5875,woman,Southampton,True
484,1,1,male,25.0,91.0792,man,Cherbourg,False
485,0,3,female,,25.4667,woman,Southampton,False
486,1,1,female,35.0,90.0,woman,Southampton,False
487,0,1,male,58.0,29.7,man,Cherbourg,True
488,0,3,male,30.0,8.05,man,Southampton,True
489,1,3,male,9.0,15.9,child,Southampton,False
490,0,3,male,,19.9667,man,Southampton,False
491,0,3,male,21.0,7.25,man,Southampton,True
492,0,1,male,55.0,30.5,man,Southampton,True
493,0,1,male,71.0,49.5042,man,Cherbourg,True
494,0,3,male,21.0,8.05,man,Southampton,True
495,0,3,male,,14.4583,man,Cherbourg,True
496,1,1,female,54.0,78.2667,woman,Cherbourg,False
497,0,3,male,,15.1,man,Southampton,True
498,0,1,female,25.0,151.55,woman,Southampton,False
499,0,3,male,24.0,7.7958,man,Southampton,True
500,0,3,male,17.0,8.6625,man,Southampton,True
501,0,3,female,21.0,7.75,woman,Queenstown,True
502,0,3,female,,7.6292,woman,Queenstown,True
503,0,3,female,37.0,9.5875,woman,Southampton,True
504,1,1,female,16.0,86.5,woman,Southampton,True
505,0,1,male,18.0,108.9,man,Cherbourg,False
506,1,2,female,33.0,26.0,woman,Southampton,False
507,1,1,male,,26.55,man,Southampton,True
508,0,3,male,28.0,22.525,man,Southampton,True
509,1,3,male,26.0,56.4958,man,Southampton,True
510,1,3,male,29.0,7.75,man,Queenstown,True
511,0,3,male,,8.05,man,Southampton,True
512,1,1,male,36.0,26.2875,man,Southampton,True
513,1,1,female,54.0,59.4,woman,Cherbourg,False
514,0,3,male,24.0,7.4958,man,Southampton,True
515,0,1,male,47.0,34.0208,man,Southampton,True
516,1,2,female,34.0,10.5,woman,Southampton,True
517,0,3,male,,24.15,man,Queenstown,True
518,1,2,female,36.0,26.0,woman,Southampton,False
519,0,3,male,32.0,7.8958,man,Southampton,True
520,1,1,female,30.0,93.5,woman,Southampton,True
521,0,3,male,22.0,7.8958,man,Southampton,True
522,0,3,male,,7.225,man,Cherbourg,True
523,1,1,female,44.0,57.9792,woman,Cherbourg,False
524,0,3,male,,7.2292,man,Cherbourg,True
525,0,3,male,40.5,7.75,man,Queenstown,True
526,1,2,female,50.0,10.5,woman,Southampton,True
527,0,1,male,,221.7792,man,Southampton,True
528,0,3,male,39.0,7.925,man,Southampton,True
529,0,2,male,23.0,11.5,man,Southampton,False
530,1,2,female,2.0,26.0,child,Southampton,False
531,0,3,male,,7.2292,man,Cherbourg,True
532,0,3,male,17.0,7.2292,man,Cherbourg,False
533,1,3,female,,22.3583,woman,Cherbourg,False
534,0,3,female,30.0,8.6625,woman,Southampton,True
535,1,2,female,7.0,26.25,child,Southampton,False
536,0,1,male,45.0,26.55,man,Southampton,True
537,1,1,female,30.0,106.425,woman,Cherbourg,True
538,0,3,male,,14.5,man,Southampton,True
539,1,1,female,22.0,49.5,woman,Cherbourg,False
540,1,1,female,36.0,71.0,woman,Southampton,False
541,0,3,female,9.0,31.275,child,Southampton,False
542,0,3,female,11.0,31.275,child,Southampton,False
543,1,2,male,32.0,26.0,man,Southampton,False
544,0,1,male,50.0,106.425,man,Cherbourg,False
545,0,1,male,64.0,26.0,man,Southampton,True
546,1,2,female,19.0,26.0,woman,Southampton,False
547,1,2,male,,13.8625,man,Cherbourg,True
548,0,3,male,33.0,20.525,man,Southampton,False
549,1,2,male,8.0,36.75,child,Southampton,False
550,1,1,male,17.0,110.8833,man,Cherbourg,False
551,0,2,male,27.0,26.0,man,Southampton,True
552,0,3,male,,7.8292,man,Queenstown,True
553,1,3,male,22.0,7.225,man,Cherbourg,True
554,1,3,female,22.0,7.775,woman,Southampton,True
555,0,1,male,62.0,26.55,man,Southampton,True
556,1,1,female,48.0,39.6,woman,Cherbourg,False
557,0,1,male,,227.525,man,Cherbourg,True
558,1,1,female,39.0,79.65,woman,Southampton,False
559,1,3,female,36.0,17.4,woman,Southampton,False
560,0,3,male,,7.75,man,Queenstown,True
561,0,3,male,40.0,7.8958,man,Southampton,True
562,0,2,male,28.0,13.5,man,Southampton,True
563,0,3,male,,8.05,man,Southampton,True
564,0,3,female,,8.05,woman,Southampton,True
565,0,3,male,24.0,24.15,man,Southampton,False
566,0,3,male,19.0,7.8958,man,Southampton,True
567,0,3,female,29.0,21.075,woman,Southampton,False
568,0,3,male,,7.2292,man,Cherbourg,True
569,1,3,male,32.0,7.8542,man,Southampton,True
570,1,2,male,62.0,10.5,man,Southampton,True
571,1,1,female,53.0,51.4792,woman,Southampton,False
572,1,1,male,36.0,26.3875,man,Southampton,True
573,1,3,female,,7.75,woman,Queenstown,True
574,0,3,male,16.0,8.05,man,Southampton,True
575,0,3,male,19.0,14.5,man,Southampton,True
576,1,2,female,34.0,13.0,woman,Southampton,True
577,1,1,female,39.0,55.9,woman,Southampton,False
578,0,3,female,,14.4583,woman,Cherbourg,False
579,1,3,male,32.0,7.925,man,Southampton,True
580,1,2,female,25.0,30.0,woman,Southampton,False
581,1,1,female,39.0,110.8833,woman,Cherbourg,False
582,0,2,male,54.0,26.0,man,Southampton,True
583,0,1,male,36.0,40.125,man,Cherbourg,True
584,0,3,male,,8.7125,man,Cherbourg,True
585,1,1,female,18.0,79.65,woman,Southampton,False
586,0,2,male,47.0,15.0,man,Southampton,True
587,1,1,male,60.0,79.2,man,Cherbourg,False
588,0,3,male,22.0,8.05,man,Southampton,True
589,0,3,male,,8.05,man,Southampton,True
590,0,3,male,35.0,7.125,man,Southampton,True
591,1,1,female,52.0,78.2667,woman,Cherbourg,False
592,0,3,male,47.0,7.25,man,Southampton,True
593,0,3,female,,7.75,woman,Queenstown,False
594,0,2,male,37.0,26.0,man,Southampton,False
595,0,3,male,36.0,24.15,man,Southampton,False
596,1,2,female,,33.0,woman,Southampton,True
597,0,3,male,49.0,0.0,man,Southampton,True
598,0,3,male,,7.225,man,Cherbourg,True
599,1,1,male,49.0,56.9292,man,Cherbourg,False
600,1,2,female,24.0,27.0,woman,Southampton,False
601,0,3,male,,7.8958,man,Southampton,True
602,0,1,male,,42.4,man,Southampton,True
603,0,3,male,44.0,8.05,man,Southampton,True
604,1,1,male,35.0,26.55,man,Cherbourg,True
605,0,3,male,36.0,15.55,man,Southampton,False
606,0,3,male,30.0,7.8958,man,Southampton,True
607,1,1,male,27.0,30.5,man,Southampton,True
608,1,2,female,22.0,41.5792,woman,Cherbourg,False
609,1,1,female,40.0,153.4625,woman,Southampton,True
610,0,3,female,39.0,31.275,woman,Southampton,False
611,0,3,male,,7.05,man,Southampton,True
612,1,3,female,,15.5,woman,Queenstown,False
613,0,3,male,,7.75,man,Queenstown,True
614,0,3,male,35.0,8.05,man,Southampton,True
615,1,2,female,24.0,65.0,woman,Southampton,False
616,0,3,male,34.0,14.4,man,Southampton,False
617,0,3,female,26.0,16.1,woman,Southampton,False
618,1,2,female,4.0,39.0,child,Southampton,False
619,0,2,male,26.0,10.5,man,Southampton,True
620,0,3,male,27.0,14.4542,man,Cherbourg,False
621,1,1,male,42.0,52.5542,man,Southampton,False
622,1,3,male,20.0,15.7417,man,Cherbourg,False
623,0,3,male,21.0,7.8542,man,Southampton,True
624,0,3,male,21.0,16.1,man,Southampton,True
625,0,1,male,61.0,32.3208,man,Southampton,True
626,0,2,male,57.0,12.35,man,Queenstown,True
627,1,1,female,21.0,77.9583,woman,Southampton,True
628,0,3,male,26.0,7.8958,man,Southampton,True
629,0,3,male,,7.7333,man,Queenstown,True
630,1,1,male,80.0,30.0,man,Southampton,True
631,0,3,male,51.0,7.0542,man,Southampton,True
632,1,1,male,32.0,30.5,man,Cherbourg,True
633,0,1,male,,0.0,man,Southampton,True
634,0,3,female,9.0,27.9,child,Southampton,False
635,1,2,female,28.0,13.0,woman,Southampton,True
636,0,3,male,32.0,7.925,man,Southampton,True
637,0,2,male,31.0,26.25,man,Southampton,False
638,0,3,female,41.0,39.6875,woman,Southampton,False
639,0,3,male,,16.1,man,Southampton,False
640,0,3,male,20.0,7.8542,man,Southampton,True
641,1,1,female,24.0,69.3,woman,Cherbourg,True
642,0,3,female,2.0,27.9,child,Southampton,False
643,1,3,male,,56.4958,man,Southampton,True
644,1,3,female,0.75,19.2583,child,Cherbourg,False
645,1,1,male,48.0,76.7292,man,Cherbourg,False
646,0,3,male,19.0,7.8958,man,Southampton,True
647,1,1,male,56.0,35.5,man,Cherbourg,True
648,0,3,male,,7.55,man,Southampton,True
649,1,3,female,23.0,7.55,woman,Southampton,True
650,0,3,male,,7.8958,man,Southampton,True
651,1,2,female,18.0,23.0,woman,Southampton,False
652,0,3,male,21.0,8.4333,man,Southampton,True
653,1,3,female,,7.8292,woman,Queenstown,True
654,0,3,female,18.0,6.75,woman,Queenstown,True
655,0,2,male,24.0,73.5,man,Southampton,False
656,0,3,male,,7.8958,man,Southampton,True
657,0,3,female,32.0,15.5,woman,Queenstown,False
658,0,2,male,23.0,13.0,man,Southampton,True
659,0,1,male,58.0,113.275,man,Cherbourg,False
660,1,1,male,50.0,133.65,man,Southampton,False
661,0,3,male,40.0,7.225,man,Cherbourg,True
662,0,1,male,47.0,25.5875,man,Southampton,True
663,0,3,male,36.0,7.4958,man,Southampton,True
664,1,3,male,20.0,7.925,man,Southampton,False
665,0,2,male,32.0,73.5,man,Southampton,False
666,0,2,male,25.0,13.0,man,Southampton,True
667,0,3,male,,7.775,man,Southampton,True
668,0,3,male,43.0,8.05,man,Southampton,True
669,1,1,female,,52.0,woman,Southampton,False
670,1,2,female,40.0,39.0,woman,Southampton,False
671,0,1,male,31.0,52.0,man,Southampton,False
672,0,2,male,70.0,10.5,man,Southampton,True
673,1,2,male,31.0,13.0,man,Southampton,True
674,0,2,male,,0.0,man,Southampton,True
675,0,3,male,18.0,7.775,man,Southampton,True
676,0,3,male,24.5,8.05,man,Southampton,True
677,1,3,female,18.0,9.8417,woman,Southampton,True
678,0,3,female,43.0,46.9,woman,Southampton,False
679,1,1,male,36.0,512.3292,man,Cherbourg,False
680,0,3,female,,8.1375,woman,Queenstown,True
681,1,1,male,27.0,76.7292,man,Cherbourg,True
682,0,3,male,20.0,9.225,man,Southampton,True
683,0,3,male,14.0,46.9,child,Southampton,False
684,0,2,male,60.0,39.0,man,Southampton,False
685,0,2,male,25.0,41.5792,man,Cherbourg,False
686,0,3,male,14.0,39.6875,child,Southampton,False
687,0,3,male,19.0,10.1708,man,Southampton,True
688,0,3,male,18.0,7.7958,man,Southampton,True
689,1,1,female,15.0,211.3375,child,Southampton,False
690,1,1,male,31.0,57.0,man,Southampton,False
691,1,3,female,4.0,13.4167,child,Cherbourg,False
692,1,3,male,,56.4958,man,Southampton,True
693,0,3,male,25.0,7.225,man,Cherbourg,True
694,0,1,male,60.0,26.55,man,Southampton,True
695,0,2,male,52.0,13.5,man,Southampton,True
696,0,3,male,44.0,8.05,man,Southampton,True
697,1,3,female,,7.7333,woman,Queenstown,True
698,0,1,male,49.0,110.8833,man,Cherbourg,False
699,0,3,male,42.0,7.65,man,Southampton,True
700,1,1,female,18.0,227.525,woman,Cherbourg,False
701,1,1,male,35.0,26.2875,man,Southampton,True
702,0,3,female,18.0,14.4542,woman,Cherbourg,False
703,0,3,male,25.0,7.7417,man,Queenstown,True
704,0,3,male,26.0,7.8542,man,Southampton,False
705,0,2,male,39.0,26.0,man,Southampton,True
706,1,2,female,45.0,13.5,woman,Southampton,True
707,1,1,male,42.0,26.2875,man,Southampton,True
708,1,1,female,22.0,151.55,woman,Southampton,True
709,1,3,male,,15.2458,man,Cherbourg,False
710,1,1,female,24.0,49.5042,woman,Cherbourg,True
711,0,1,male,,26.55,man,Southampton,True
712,1,1,male,48.0,52.0,man,Southampton,False
713,0,3,male,29.0,9.4833,man,Southampton,True
714,0,2,male,52.0,13.0,man,Southampton,True
715,0,3,male,19.0,7.65,man,Southampton,True
716,1,1,female,38.0,227.525,woman,Cherbourg,True
717,1,2,female,27.0,10.5,woman,Southampton,True
718,0,3,male,,15.5,man,Queenstown,True
719,0,3,male,33.0,7.775,man,Southampton,True
720,1,2,female,6.0,33.0,child,Southampton,False
721,0,3,male,17.0,7.0542,man,Southampton,False
722,0,2,male,34.0,13.0,man,Southampton,True
723,0,2,male,50.0,13.0,man,Southampton,True
724,1,1,male,27.0,53.1,man,Southampton,False
725,0,3,male,20.0,8.6625,man,Southampton,True
726,1,2,female,30.0,21.0,woman,Southampton,False
727,1,3,female,,7.7375,woman,Queenstown,True
728,0,2,male,25.0,26.0,man,Southampton,False
729,0,3,female,25.0,7.925,woman,Southampton,False
730,1,1,female,29.0,211.3375,woman,Southampton,True
731,0,3,male,11.0,18.7875,child,Cherbourg,True
732,0,2,male,,0.0,man,Southampton,True
733,0,2,male,23.0,13.0,man,Southampton,True
734,0,2,male,23.0,13.0,man,Southampton,True
735,0,3,male,28.5,16.1,man,Southampton,True
736,0,3,female,48.0,34.375,woman,Southampton,False
737,1,1,male,35.0,512.3292,man,Cherbourg,True
738,0,3,male,,7.8958,man,Southampton,True
739,0,3,male,,7.8958,man,Southampton,True
740,1,1,male,,30.0,man,Southampton,True
741,0,1,male,36.0,78.85,man,Southampton,False
742,1,1,female,21.0,262.375,woman,Cherbourg,False
743,0,3,male,24.0,16.1,man,Southampton,False
744,1,3,male,31.0,7.925,man,Southampton,True
745,0,1,male,70.0,71.0,man,Southampton,False
746,0,3,male,16.0,20.25,man,Southampton,False
747,1,2,female,30.0,13.0,woman,Southampton,True
748,0,1,male,19.0,53.1,man,Southampton,False
749,0,3,male,31.0,7.75,man,Queenstown,True
750,1,2,female,4.0,23.0,child,Southampton,False
751,1,3,male,6.0,12.475,child,Southampton,False
752,0,3,male,33.0,9.5,man,Southampton,True
753,0,3,male,23.0,7.8958,man,Southampton,True
754,1,2,female,48.0,65.0,woman,Southampton,False
755,1,2,male,0.67,14.5,child,Southampton,False
756,0,3,male,28.0,7.7958,man,Southampton,True
757,0,2,male,18.0,11.5,man,Southampton,True
758,0,3,male,34.0,8.05,man,Southampton,True
759,1,1,female,33.0,86.5,woman,Southampton,True
760,0,3,male,,14.5,man,Southampton,True
761,0,3,male,41.0,7.125,man,Southampton,True
762,1,3,male,20.0,7.2292,man,Cherbourg,True
763,1,1,female,36.0,120.0,woman,Southampton,False
764,0,3,male,16.0,7.775,man,Southampton,True
765,1,1,female,51.0,77.9583,woman,Southampton,False
766,0,1,male,,39.6,man,Cherbourg,True
767,0,3,female,30.5,7.75,woman,Queenstown,True
768,0,3,male,,24.15,man,Queenstown,False
769,0,3,male,32.0,8.3625,man,Southampton,True
770,0,3,male,24.0,9.5,man,Southampton,True
771,0,3,male,48.0,7.8542,man,Southampton,True
772,0,2,female,57.0,10.5,woman,Southampton,True
773,0,3,male,,7.225,man,Cherbourg,True
774,1,2,female,54.0,23.0,woman,Southampton,False
775,0,3,male,18.0,7.75,man,Southampton,True
776,0,3,male,,7.75,man,Queenstown,True
777,1,3,female,5.0,12.475,child,Southampton,True
778,0,3,male,,7.7375,man,Queenstown,True
779,1,1,female,43.0,211.3375,woman,Southampton,False
780,1,3,female,13.0,7.2292,child,Cherbourg,True
781,1,1,female,17.0,57.0,woman,Southampton,False
782,0,1,male,29.0,30.0,man,Southampton,True
783,0,3,male,,23.45,man,Southampton,False
784,0,3,male,25.0,7.05,man,Southampton,True
785,0,3,male,25.0,7.25,man,Southampton,True
786,1,3,female,18.0,7.4958,woman,Southampton,True
787,0,3,male,8.0,29.125,child,Queenstown,False
788,1,3,male,1.0,20.575,child,Southampton,False
789,0,1,male,46.0,79.2,man,Cherbourg,True
790,0,3,male,,7.75,man,Queenstown,True
791,0,2,male,16.0,26.0,man,Southampton,True
792,0,3,female,,69.55,woman,Southampton,False
793,0,1,male,,30.6958,man,Cherbourg,True
794,0,3,male,25.0,7.8958,man,Southampton,True
795,0,2,male,39.0,13.0,man,Southampton,True
796,1,1,female,49.0,25.9292,woman,Southampton,True
797,1,3,female,31.0,8.6833,woman,Southampton,True
798,0,3,male,30.0,7.2292,man,Cherbourg,True
799,0,3,female,30.0,24.15,woman,Southampton,False
800,0,2,male,34.0,13.0,man,Southampton,True
801,1,2,female,31.0,26.25,woman,Southampton,False
802,1,1,male,11.0,120.0,child,Southampton,False
803,1,3,male,0.42,8.5167,child,Cherbourg,False
804,1,3,male,27.0,6.975,man,Southampton,True
805,0,3,male,31.0,7.775,man,Southampton,True
806,0,1,male,39.0,0.0,man,Southampton,True
807,0,3,female,18.0,7.775,woman,Southampton,True
808,0,2,male,39.0,13.0,man,Southampton,True
809,1,1,female,33.0,53.1,woman,Southampton,False
810,0,3,male,26.0,7.8875,man,Southampton,True
811,0,3,male,39.0,24.15,man,Southampton,True
812,0,2,male,35.0,10.5,man,Southampton,True
813,0,3,female,6.0,31.275,child,Southampton,False
814,0,3,male,30.5,8.05,man,Southampton,True
815,0,1,male,,0.0,man,Southampton,True
816,0,3,female,23.0,7.925,woman,Southampton,True
817,0,2,male,31.0,37.0042,man,Cherbourg,False
818,0,3,male,43.0,6.45,man,Southampton,True
819,0,3,male,10.0,27.9,child,Southampton,False
820,1,1,female,52.0,93.5,woman,Southampton,False
821,1,3,male,27.0,8.6625,man,Southampton,True
822,0,1,male,38.0,0.0,man,Southampton,True
823,1,3,female,27.0,12.475,woman,Southampton,False
824,0,3,male,2.0,39.6875,child,Southampton,False
825,0,3,male,,6.95,man,Queenstown,True
826,0,3,male,,56.4958,man,Southampton,True
827,1,2,male,1.0,37.0042,child,Cherbourg,False
828,1,3,male,,7.75,man,Queenstown,True
829,1,1,female,62.0,80.0,woman,,True
830,1,3,female,15.0,14.4542,child,Cherbourg,False
831,1,2,male,0.83,18.75,child,Southampton,False
832,0,3,male,,7.2292,man,Cherbourg,True
833,0,3,male,23.0,7.8542,man,Southampton,True
834,0,3,male,18.0,8.3,man,Southampton,True
835,1,1,female,39.0,83.1583,woman,Cherbourg,False
836,0,3,male,21.0,8.6625,man,Southampton,True
837,0,3,male,,8.05,man,Southampton,True
838,1,3,male,32.0,56.4958,man,Southampton,True
839,1,1,male,,29.7,man,Cherbourg,True
840,0,3,male,20.0,7.925,man,Southampton,True
841,0,2,male,16.0,10.5,man,Southampton,True
842,1,1,female,30.0,31.0,woman,Cherbourg,True
843,0,3,male,34.5,6.4375,man,Cherbourg,True
844,0,3,male,17.0,8.6625,man,Southampton,True
845,0,3,male,42.0,7.55,man,Southampton,True
846,0,3,male,,69.55,man,Southampton,False
847,0,3,male,35.0,7.8958,man,Cherbourg,True
848,0,2,male,28.0,33.0,man,Southampton,False
849,1,1,female,,89.1042,woman,Cherbourg,False
850,0,3,male,4.0,31.275,child,Southampton,False
851,0,3,male,74.0,7.775,man,Southampton,True
852,0,3,female,9.0,15.2458,child,Cherbourg,False
853,1,1,female,16.0,39.4,woman,Southampton,False
854,0,2,female,44.0,26.0,woman,Southampton,False
855,1,3,female,18.0,9.35,woman,Southampton,False
856,1,1,female,45.0,164.8667,woman,Southampton,False
857,1,1,male,51.0,26.55,man,Southampton,True
858,1,3,female,24.0,19.2583,woman,Cherbourg,False
859,0,3,male,,7.2292,man,Cherbourg,True
860,0,3,male,41.0,14.1083,man,Southampton,False
861,0,2,male,21.0,11.5,man,Southampton,False
862,1,1,female,48.0,25.9292,woman,Southampton,True
863,0,3,female,,69.55,woman,Southampton,False
864,0,2,male,24.0,13.0,man,Southampton,True
865,1,2,female,42.0,13.0,woman,Southampton,True
866,1,2,female,27.0,13.8583,woman,Cherbourg,False
867,0,1,male,31.0,50.4958,man,Southampton,True
868,0,3,male,,9.5,man,Southampton,True
869,1,3,male,4.0,11.1333,child,Southampton,False
870,0,3,male,26.0,7.8958,man,Southampton,True
871,1,1,female,47.0,52.5542,woman,Southampton,False
872,0,1,male,33.0,5.0,man,Southampton,True
873,0,3,male,47.0,9.0,man,Southampton,True
874,1,2,female,28.0,24.0,woman,Cherbourg,False
875,1,3,female,15.0,7.225,child,Cherbourg,True
876,0,3,male,20.0,9.8458,man,Southampton,True
877,0,3,male,19.0,7.8958,man,Southampton,True
878,0,3,male,,7.8958,man,Southampton,True
879,1,1,female,56.0,83.1583,woman,Cherbourg,False
880,1,2,female,25.0,26.0,woman,Southampton,False
881,0,3,male,33.0,7.8958,man,Southampton,True
882,0,3,female,22.0,10.5167,woman,Southampton,True
883,0,2,male,28.0,10.5,man,Southampton,True
884,0,3,male,25.0,7.05,man,Southampton,True
885,0,3,female,39.0,29.125,woman,Queenstown,False
886,0,2,male,27.0,13.0,man,Southampton,True
887,1,1,female,19.0,30.0,woman,Southampton,True
888,0,3,female,,23.45,woman,Southampton,False
889,1,1,male,26.0,30.0,man,Cherbourg,True
890,0,3,male,32.0,7.75,man,Queenstown,True
